#TYPE Microsoft.Azure.Commands.Profile.Models.PSAzureSubscription
"Id","Name","State","SubscriptionId","TenantId","HomeTenantId","ManagedByTenantIds","CurrentStorageAccountName","SubscriptionPolicies","ExtendedProperties","CurrentStorageAccount","AuthorizationSource","Tags"
"27f66db2-d89f-4789-ac37-4075aea99c87","aa-vdc-spoke","Enabled","27f66db2-d89f-4789-ac37-4075aea99c87","49793faf-eb3f-4d99-a0cf-aef7cce79dc1","49793faf-eb3f-4d99-a0cf-aef7cce79dc1","System.String[]",,"{
  ""LocationPlacementId"": ""Public_2014-09-01"",
  ""QuotaId"": ""EnterpriseAgreement_2014-09-01"",
  ""SpendingLimit"": ""Off""
}","System.Collections.Generic.Dictionary`2[System.String,System.String]",,"RoleBased",
"292368fe-4287-4eb0-bea9-709569d9aa24","aa-ct-LoyaltyMT-prod-spoke","Enabled","292368fe-4287-4eb0-bea9-709569d9aa24","49793faf-eb3f-4d99-a0cf-aef7cce79dc1","49793faf-eb3f-4d99-a0cf-aef7cce79dc1","System.String[]",,"{
  ""LocationPlacementId"": ""Public_2014-09-01"",
  ""QuotaId"": ""EnterpriseAgreement_2014-09-01"",
  ""SpendingLimit"": ""Off""
}","System.Collections.Generic.Dictionary`2[System.String,System.String]",,"RoleBased",
"2fe97b8d-f7b5-4964-85b0-48740441865e","aa-runway-np","Enabled","2fe97b8d-f7b5-4964-85b0-48740441865e","49793faf-eb3f-4d99-a0cf-aef7cce79dc1","49793faf-eb3f-4d99-a0cf-aef7cce79dc1","System.String[]",,"{
  ""LocationPlacementId"": ""Public_2014-09-01"",
  ""QuotaId"": ""EnterpriseAgreement_2014-09-01"",
  ""SpendingLimit"": ""Off""
}","System.Collections.Generic.Dictionary`2[System.String,System.String]",,"RoleBased",
"32202d86-a43c-464f-99d9-53175bb03029","aa-aot-tfp-nonprod-spoke","Enabled","32202d86-a43c-464f-99d9-53175bb03029","49793faf-eb3f-4d99-a0cf-aef7cce79dc1","49793faf-eb3f-4d99-a0cf-aef7cce79dc1","System.String[]",,"{
  ""LocationPlacementId"": ""Public_2014-09-01"",
  ""QuotaId"": ""EnterpriseAgreement_2014-09-01"",
  ""SpendingLimit"": ""Off""
}","System.Collections.Generic.Dictionary`2[System.String,System.String]",,"RoleBased",
"34a0bcaf-8148-4f0c-879f-2782ef071b4d","aa-ct-mosaic","Enabled","34a0bcaf-8148-4f0c-879f-2782ef071b4d","49793faf-eb3f-4d99-a0cf-aef7cce79dc1","49793faf-eb3f-4d99-a0cf-aef7cce79dc1","System.String[]",,"{
  ""LocationPlacementId"": ""Public_2014-09-01"",
  ""QuotaId"": ""EnterpriseAgreement_2014-09-01"",
  ""SpendingLimit"": ""Off""
}","System.Collections.Generic.Dictionary`2[System.String,System.String]",,"RoleBased",
"34dbcf6f-a9a0-4dd5-af52-1c9b23c30e3a","aa-ets-nonprod-isolated-2","Enabled","34dbcf6f-a9a0-4dd5-af52-1c9b23c30e3a","49793faf-eb3f-4d99-a0cf-aef7cce79dc1","49793faf-eb3f-4d99-a0cf-aef7cce79dc1","System.String[]",,"{
  ""LocationPlacementId"": ""Public_2014-09-01"",
  ""QuotaId"": ""EnterpriseAgreement_2014-09-01"",
  ""SpendingLimit"": ""Off""
}","System.Collections.Generic.Dictionary`2[System.String,System.String]",,"RoleBased",
"36ae79ae-e3b0-409e-874c-aaecfc5d5cd3","aa-cstrm-nonprod-spoke","Enabled","36ae79ae-e3b0-409e-874c-aaecfc5d5cd3","49793faf-eb3f-4d99-a0cf-aef7cce79dc1","49793faf-eb3f-4d99-a0cf-aef7cce79dc1","System.String[]",,"{
  ""LocationPlacementId"": ""Public_2014-09-01"",
  ""QuotaId"": ""EnterpriseAgreement_2014-09-01"",
  ""SpendingLimit"": ""Off""
}","System.Collections.Generic.Dictionary`2[System.String,System.String]",,"RoleBased",
"37443b6e-3d25-44fa-a07a-79f4a90242ba","aa-aot-prod-spoke","Enabled","37443b6e-3d25-44fa-a07a-79f4a90242ba","49793faf-eb3f-4d99-a0cf-aef7cce79dc1","49793faf-eb3f-4d99-a0cf-aef7cce79dc1","System.String[]",,"{
  ""LocationPlacementId"": ""Public_2014-09-01"",
  ""QuotaId"": ""EnterpriseAgreement_2014-09-01"",
  ""SpendingLimit"": ""Off""
}","System.Collections.Generic.Dictionary`2[System.String,System.String]",,"RoleBased",
"3be3cd8f-1ef4-4390-8b7f-33282db853bf","Production American Airlines Azure","Enabled","3be3cd8f-1ef4-4390-8b7f-33282db853bf","49793faf-eb3f-4d99-a0cf-aef7cce79dc1","49793faf-eb3f-4d99-a0cf-aef7cce79dc1","System.String[]",,"{
  ""LocationPlacementId"": ""Public_2014-09-01"",
  ""QuotaId"": ""EnterpriseAgreement_2014-09-01"",
  ""SpendingLimit"": ""Off""
}","System.Collections.Generic.Dictionary`2[System.String,System.String]",,"RoleBased",
"4392c01a-2530-4469-aa2f-4e41acf98fd7","aa-ets-lab-spoke","Enabled","4392c01a-2530-4469-aa2f-4e41acf98fd7","49793faf-eb3f-4d99-a0cf-aef7cce79dc1","49793faf-eb3f-4d99-a0cf-aef7cce79dc1","System.String[]",,"{
  ""LocationPlacementId"": ""Public_2014-09-01"",
  ""QuotaId"": ""EnterpriseAgreement_2014-09-01"",
  ""SpendingLimit"": ""Off""
}","System.Collections.Generic.Dictionary`2[System.String,System.String]",,"RoleBased",
